date,description,amount,forex_ref
2025-07-28,IF035209BAIAAAADUVRZ,24662.27,
2025-08-25,IF035237BAIAAAAD0EXX,24662.27,
2025-07-25,GOOGLEPLAYSERCYBSSMUMBAI IN,-299.0,
2025-07-27,APTRONIX CHENNAI IN(*ConverttoEMI) Telecom,-216707.0,
2025-07-28,AMAZONINDIACYBSSI MUMBAI IN Services,-279.65,
2025-08-02,FLY.IO FLY.IO CA Services [USD 12.74],-1156.11,USD 12.74
2025-08-02,MEDIUMMONTHLY MEDIUM.COM CA DirectMarketing [USD 5.00],-453.73,USD 5.00
2025-08-06,AMAZONPRIME MUMBAI IN Services,-199.0,
2025-08-15,MICROSOFTINDIACYBSSMUMBAI IN Computer,-908.6,
2025-08-15,MICROSOFTINDIACYBSSMUMBAI IN Computer,-2345.72,
2025-08-16,GOOGLEPLAYCONTENTPUMUMBAI IN,-1950.0,
2025-08-18,WINDSURF WINDSURF.COM CA Computer [USD 10.00],-907.68,USD 10.00
2025-08-18,GST,-15.32,
2025-06-30,IF035181BAIAAAADPYC6,45894.98,
2025-06-25,GOOGLEPLAYSERCYBSSMUMBAI IN,-299.0,
2025-06-27,AMAZONINDIACYBSSI MUMBAI IN Services,-541.5,
2025-06-27,AMAZONINDIACYBSSI MUMBAI IN Services,-267.75,
2025-07-02,FLY.IO FLY.IO CA Services [USD 12.27],-1088.47,USD 12.27
2025-07-02,MEDIUMMONTHLY MEDIUM.COM CA DirectMarketing [USD 5.00],-443.55,USD 5.00
2025-07-03,AMAZONWEBSERVICESC BANGALORE IN(*ConverttoEMI) Services,-7282.99,
2025-07-07,AMAZONINDIACYBSSI MUMBAI IN Services,-199.0,
2025-07-10,AMAZONINDIACYBSSI MUMBAI IN Services,-399.0,
2025-07-15,MICROSOFTINDIACYBSSMUMBAI IN Computer,-908.6,
2025-07-15,MICROSOFTINDIACYBSSMUMBAI IN(*ConverttoEMI) Computer,-3250.9,
2025-07-16,GOOGLEPLAYSERCYBSSMUMBAI IN,-1950.0,
2025-07-18,WINDSURF WINDSURF.COM CA Computer [USD 10.00],-891.79,USD 10.00
2025-07-23,OPENAI*CHATGPTSUBSCROPENAI.COM CA Computer [USD 23.60],-2112.1,USD 23.60
2025-07-24,WWW.PACKTPUB.COM MUMBAI IN(*ConverttoEMI) Print&PaperWorks,-5000.0,
2025-07-23,GST,-27.62,
2025-05-30,IF035150BAHAAAADKW60,27794.96,
2025-05-25,GOOGLEPLAYSERCYBSSMUMBAI IN,-299.0,
2025-05-25,WINDSURF WINDSURF.COM CA Computer [USD 10.00],-890.62,USD 10.00
2025-05-27,AMAZONINDIACYBSSI MUMBAI IN Services,-276.25,
2025-05-28,WINDSURF WINDSURF.COM CA Computer [USD 10.00],-884.75,USD 10.00
2025-06-02,FLY.IO FLY.IO CA Services [USD 12.56],-1113.67,USD 12.56
2025-06-02,MEDIUMMONTHLY MEDIUM.COM CA DirectMarketing [USD 5.00],-443.34,USD 5.00
2025-06-03,AMAZONWEBSERVICESC BANGALORE IN(*ConverttoEMI) Services,-7782.18,
2025-06-07,AMAZONINDIACYBSSI MUMBAI IN Services,-199.0,
2025-06-15,MICROSOFTINDIACYBSSMUMBAI IN(*ConverttoEMI) Computer,-3295.05,
2025-06-15,MICROSOFTINDIACYBSSMUMBAI IN Computer,-908.6,
2025-06-16,GOOGLEPLAYSERCYBSSMUMBAI IN,-1950.0,
2025-06-18,CLAUDE.AISUBSCRIPTIONANTHROPIC.COMCA(*ConverttoEMI) Computer [USD 236.00],-21077.25,USD 236.00
2025-06-18,WINDSURF WINDSURF.COM CA Computer [USD 10.00],-893.1,USD 10.00
2025-06-19,WINDSURF WINDSURF.COM CA Computer [USD 10.00],-896.24,USD 10.00
2025-06-23,OPENAI*CHATGPTSUBSCROPENAI.COM CA Computer [USD 23.60],-2118.11,USD 23.60
2025-06-25,WINDSURF WINDSURF.COM CA Computer [USD 10.00],-892.92,USD 10.00
2025-06-25,GST,-188.7,
2025-11-25,GOOGLEPLAYCONTENTPUMUMBAI IN,-299.0,
2025-12-06,AMAZONINDIACYBSSI MUMBAI IN,-199.0,
2025-12-15,MICROSOFTINDIACYBSSMUMBAI IN Computer,-908.6,
2025-12-15,MICROSOFTINDIACYBSSMUMBAI IN Computer,-2395.4,
2025-12-16,GOOGLEPLAYCONTENTPUMUMBAI IN,-1950.0,
2025-12-18,WINDSURF WINDSURF.COM CA Computer [USD 10.00],-942.68,USD 10.00
2025-12-18,GST,-5.74,
2025-04-30,IF035120BAHAAAADF5JG,26216.32,
2025-04-25,GOOGLEPLAYSERCYBSSMUMBAI IN,-299.0,
2025-04-26,AMAZONINDIACYBSSI MUMBAI IN Services,-331.5,
2025-04-28,WINDSURF WINDSURF.COM CA Computer [USD 10.00],-886.66,USD 10.00
2025-05-01,IND*LINKEDIN(PGSI) WWW.LINKEDIN.IN Services,-1694.07,
2025-05-02,FLY.IO FLY.IO CA Services [USD 12.22],-1072.17,USD 12.22
2025-05-02,MEDIUMMONTHLY MEDIUM.COM CA DirectMarketing,-438.7,
2025-05-03,GOOGLEWORKSPACECYBS MUMBAI IN(*ConverttoEMI) Services,-4874.34,
2025-05-03,AMAZONWEBSERVICESC BANGALORE IN Services,-1824.36,
2025-05-08,AMAZONINDIACYBSSI MUMBAI IN Services,-199.0,
2025-05-10,HOTSTARCYBSSI MUMBAI IN Recreation,-1499.0,
2025-05-12,RESUMEBUILDER.COM 800-442-4189 PR Computer [USD 23.95],-2131.26,USD 23.95
2025-05-15,MICROSOFTINDIACYBSSMUMBAI IN Computer,-908.6,
2025-05-15,MICROSOFTINDIACYBSSMUMBAI IN(*ConverttoEMI) Computer,-3079.8,
2025-05-16,GOOGLEPLAYSERCYBSSMUMBAI IN,-1950.0,
2025-05-18,WINDSURF WINDSURF.COM CA Computer [USD 10.00],-887.07,USD 10.00
2025-05-19,WINDSURF WINDSURF.COM CA Computer [USD 10.00],-887.07,USD 10.00
2025-05-23,OPENAI*CHATGPTSUBSCROPENAI.COM CA Computer [USD 23.60],-2103.77,USD 23.60
2025-05-23,GST,-67.38,
2025-03-28,BIDNV0I0GVKCGIPYMTRECD,218445.0,
2025-03-26,GOOGLEPLAYSERCYBSSMUMBAI IN,-299.0,
2025-03-28,AMAZONINDIACYBSSI MUMBAI IN Services,-331.5,
2025-03-28,AMAZONINDIACYBSSI MUMBAI IN Services,-252.0,
2025-03-28,AMAZONINDIACYBSSI MUMBAI IN Services,-237.6,
2025-03-28,AMAZONINDIACYBSSI MUMBAI IN Services,-376.2,
2025-03-28,CODEIUM.COM CODEIUM.COM CA Computer [USD 10.00],-889.32,USD 10.00
2025-03-31,IND*LINKEDIN(PGSI) WWW.LINKEDIN.IN Services,-1694.07,
2025-04-02,FLY.IO FLY.IO CA Services [USD 12.67],-1124.71,USD 12.67
2025-04-02,MEDIUMMONTHLY MEDIUM.COM CA DirectMarketing [USD 5.00],-443.85,USD 5.00
2025-04-03,GOOGLEWORKSPACECYBS MUMBAI IN(*ConverttoEMI) Services,-4526.95,
2025-04-03,GOOGLECLOUDCYBSSI MUMBAI IN Computer,-13.39,
2025-04-08,AMAZONINDIACYBSSI MUMBAI IN Services,-199.0,
2025-04-11,AMAZONIN GURGAON IN Grocery,-541.5,
2025-04-14,RESUMEBUILDER.COM 800-442-4189 PR Computer [USD 23.95],-2138.58,USD 23.95
